,1,2,3,4,5,6,7,8,9,10,
quoted_user_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
quoted_screen_name,,,,,,,,,,,
quoted_name,,,,,,,,,,,
quoted_followers_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
quoted_friends_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
quoted_statuses_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
quoted_location,,,,,,,,,,,
quoted_description,,,,,,,,,,,
quoted_verified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_status_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_text,,,,,,,,,,,
retweet_created_at,,,,,,,,,,,
retweet_source,,,,,,,,,,,
retweet_favorite_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_retweet_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_user_id,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_screen_name,,,,,,,,,,,
retweet_name,,,,,,,,,,,
retweet_followers_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_friends_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_statuses_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
retweet_location,,,,,,,,,,,
retweet_description,,,,,,,,,,,
retweet_verified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
place_url,,,,,,,,,,,
place_name,,,,,,,,,,,
place_full_name,,,,,,,,,,,
place_type,,,,,,,,,,,
country,,,,,,,,,,,
country_code,,,,,,,,,,,
geo_coords,"NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA",
coords_coords,"NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA",
bbox_coords,"NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","NA, NA, NA, NA, NA, NA, NA, NA",
status_url,https://twitter.com/OptionsMaxPain/status/1377640824637288450,https://twitter.com/OptionsMaxPain/status/1377343109810450432,https://twitter.com/OptionsMaxPain/status/1375127950207590402,https://twitter.com/OptionsMaxPain/status/1377632334548135942,https://twitter.com/OptionsMaxPain/status/1377309321294344197,https://twitter.com/OptionsMaxPain/status/1375160768388161536,https://twitter.com/OptionsMaxPain/status/1376591170977984512,https://twitter.com/OptionsMaxPain/status/1375109546805354504,https://twitter.com/OptionsMaxPain/status/1377256729012932610,https://twitter.com/OptionsMaxPain/status/1377327905391345670,
name,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,OptionsPro MaxPain,
location,"California, USA","California, USA","California, USA","California, USA","California, USA","California, USA","California, USA","California, USA","California, USA","California, USA",
description,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,Advanced market information center to track hot #options #MaxPain. #Financial service for #traders and #investors.,
url,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,
protected,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
followers_count,3368,3368,3368,3368,3368,3368,3368,3368,3368,3368,
friends_count,45,45,45,45,45,45,45,45,45,45,
listed_count,58,58,58,58,58,58,58,58,58,58,
statuses_count,57103,57103,57103,57103,57103,57103,57103,57103,57103,57103,
favourites_count,0,0,0,0,0,0,0,0,0,0,
account_created_at,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,2016-03-06T01:58:34Z,
verified,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
profile_url,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,https://t.co/TFmFqsPG02,
profile_expanded_url,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,http://www.mobileinteractive.com/superstocks,
account_lang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
profile_banner_url,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,https://pbs.twimg.com/profile_banners/706297891070087168/1457232758,
profile_background_url,,,,,,,,,,,
profile_image_url,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,http://pbs.twimg.com/profile_images/893291796549292033/dKBZVxVR_normal.jpg,
